log_datetime,unq_fldid,year,client,farm,field,crop,variety
2022-09-05 05:29:20.787407,517,2022,Crapo Farms,Lenz,Dennis Mini,Potatoes,Chieftain
2022-09-05 05:29:20.787407,515,2022,Crapo Farms,Lenz,Lenz 5,Potatoes,Chieftain
2022-09-05 05:57:43.482473,517,2022,Crapo Farms,Lenz,Dennis Mini,Potatoes,Chieftain
2022-09-05 05:57:43.482473,515,2022,Crapo Farms,Lenz,Lenz 5,Potatoes,Chieftain
2022-09-05 05:57:51.067129,517,2022,Crapo Farms,Lenz,Dennis Mini,Potatoes,Chieftain
2022-09-05 05:57:51.067129,515,2022,Crapo Farms,Lenz,Lenz 5,Potatoes,Chieftain
2022-09-05 05:59:43.268135,517,2022,Crapo Farms,Lenz,Dennis Mini,Potatoes,Chieftain
2022-09-05 05:59:43.268135,515,2022,Crapo Farms,Lenz,Lenz 5,Potatoes,Chieftain
2022-09-05 15:14:15.058196,517,2022,Crapo Farms,Lenz,Dennis Mini,Potatoes,Chieftain
2022-09-05 15:14:15.058196,515,2022,Crapo Farms,Lenz,Lenz 5,Potatoes,Chieftain
2022-09-05 15:24:36.513786,148,2022,Russel Schwendiman Farms,Home Place,14,Wheat,Jefferson
2022-09-05 15:24:39.306240,148,2022,Russel Schwendiman Farms,Home Place,14,Wheat,Jefferson
2022-09-05 15:24:39.306240,99,2022,Russel Schwendiman Farms,Home Place,13,Wheat,Jefferson
2022-09-05 15:25:11.678624,148,2022,Russel Schwendiman Farms,Home Place,14,Wheat,Jefferson
2022-09-05 15:25:11.678624,99,2022,Russel Schwendiman Farms,Home Place,13,Wheat,Jefferson
2022-09-05 15:25:11.678624,230,2022,Russel Schwendiman Farms,Home Place,11W,Wheat,Jefferson
2022-09-05 15:38:56.469291,283,2022,Erickson,Valley,Kates,Potatoes,Russet Burbank
2022-09-05 15:38:56.469291,278,2022,Erickson,Valley,Guys West,Potatoes,Russet Burbank
2022-09-05 15:38:56.469291,279,2022,Erickson,Valley,Guys East,Potatoes,Russet Burbank
2022-09-05 15:46:20.573363,442,2022,Arcadia Ag,Banks,Banks Wiper,Barley,Conrad
2022-09-05 15:50:20.404619,442,2022,Arcadia Ag,Banks,Banks Wiper,Barley,Conrad
2022-09-05 15:52:57.733593,442,2022,Arcadia Ag,Banks,Banks Wiper,Potatoes,Chieftain
2022-09-05 15:54:25.380303,442,2022,Arcadia Ag,Banks,Banks Wiper,Barley,Conrad
2022-09-05 15:54:36.125045,442,2022,Arcadia Ag,Banks,Banks Wiper,Fallow,None
2022-09-05 15:59:18.915655,442,2022,Arcadia Ag,Banks,Banks Wiper,Barley,Conrad
2022-09-05 15:59:34.780683,442,2022,Arcadia Ag,Banks,Banks Wiper,Barley,Conrad
2022-09-05 16:07:39.259750,442,2022,Arcadia Ag,Banks,Banks Wiper,Barley,Conrad
2022-09-05 16:08:30.708507,442,2022,Arcadia Ag,Banks,Banks Wiper,Potatoes,Chieftain
2022-09-05 16:09:33.011744,442,2022,Arcadia Ag,Banks,Banks Wiper,Potatoes,Chieftain
2022-09-05 16:15:17.901714,280,2022,Erickson,Phillips,Point Wipers,Barley,Harrington
2022-09-05 16:15:57.076035,280,2022,Erickson,Phillips,Point Wipers,Barley,Harrington
